"ID";"TypeOfBankruptcy";"Regions";"Periods";"PronouncedBankruptcies_1"
"0";"A047596";"NL00  ";"2009MM01";"     563"
"1";"A047596";"NL00  ";"2009MM02";"     601"
"2";"A047596";"NL00  ";"2009MM03";"     768"
"3";"A047596";"NL00  ";"2009KW01";"    1932"
"4";"A047596";"NL00  ";"2009MM04";"     717"
"5";"A047596";"NL00  ";"2009MM05";"     581"
"6";"A047596";"NL00  ";"2009MM06";"     797"
"7";"A047596";"NL00  ";"2009KW02";"    2095"
"8";"A047596";"NL00  ";"2009MM07";"     731"
"9";"A047596";"NL00  ";"2009MM08";"     586"
"10";"A047596";"NL00  ";"2009MM09";"     710"
"11";"A047596";"NL00  ";"2009KW03";"    2027"
"12";"A047596";"NL00  ";"2009MM10";"     621"
"13";"A047596";"NL00  ";"2009MM11";"     677"
"14";"A047596";"NL00  ";"2009MM12";"     635"
"15";"A047596";"NL00  ";"2009KW04";"    1933"
"16";"A047596";"NL00  ";"2009JJ00";"    7987"
"17";"A047596";"NL00  ";"2010MM01";"     590"
"18";"A047596";"NL00  ";"2010MM02";"     632"
"19";"A047596";"NL00  ";"2010MM03";"     744"
"20";"A047596";"NL00  ";"2010KW01";"    1966"
"21";"A047596";"NL00  ";"2010MM04";"     571"
"22";"A047596";"NL00  ";"2010MM05";"     473"
"23";"A047596";"NL00  ";"2010MM06";"     754"
"24";"A047596";"NL00  ";"2010KW02";"    1798"
"25";"A047596";"NL00  ";"2010MM07";"     548"
"26";"A047596";"NL00  ";"2010MM08";"     590"
"27";"A047596";"NL00  ";"2010MM09";"     514"
"28";"A047596";"NL00  ";"2010KW03";"    1652"
"29";"A047596";"NL00  ";"2010MM10";"     590"
"30";"A047596";"NL00  ";"2010MM11";"     652"
"31";"A047596";"NL00  ";"2010MM12";"     489"
"32";"A047596";"NL00  ";"2010KW04";"    1731"
"33";"A047596";"NL00  ";"2010JJ00";"    7147"
"34";"A047596";"NL00  ";"2011MM01";"     546"
"35";"A047596";"NL00  ";"2011MM02";"     569"
"36";"A047596";"NL00  ";"2011MM03";"     620"
"37";"A047596";"NL00  ";"2011KW01";"    1735"
"38";"A047596";"NL00  ";"2011MM04";"     499"
"39";"A047596";"NL00  ";"2011MM05";"     631"
"40";"A047596";"NL00  ";"2011MM06";"     483"
"41";"A047596";"NL00  ";"2011KW02";"    1613"
"42";"A047596";"NL00  ";"2011MM07";"     503"
"43";"A047596";"NL00  ";"2011MM08";"     578"
"44";"A047596";"NL00  ";"2011MM09";"     582"
"45";"A047596";"NL00  ";"2011KW03";"    1663"
"46";"A047596";"NL00  ";"2011MM10";"     587"
"47";"A047596";"NL00  ";"2011MM11";"     718"
"48";"A047596";"NL00  ";"2011MM12";"     567"
"49";"A047596";"NL00  ";"2011KW04";"    1872"
"50";"A047596";"NL00  ";"2011JJ00";"    6883"
"51";"A047596";"NL00  ";"2012MM01";"     766"
"52";"A047596";"NL00  ";"2012MM02";"     671"
"53";"A047596";"NL00  ";"2012MM03";"     667"
"54";"A047596";"NL00  ";"2012KW01";"    2104"
"55";"A047596";"NL00  ";"2012MM04";"     668"
