"Sex";"Periods";"Regions";"Population on 1 January (number)";"Population density (number)";"Population on 31 December (number)"
"Total male and female";"2009";"The Netherlands";"16485787";"     489";"16574989"
"Total male and female";"2010";"The Netherlands";"16574989";"     491";"16655799"
"Total male and female";"2011";"The Netherlands";"16655799";"     494";"16730348"
"Total male and female";"2012";"The Netherlands";"16730348";"     496";"16779575"
"Total male and female";"2013";"The Netherlands";"16779575";"     498";"16829289"
"Total male and female";"2014";"The Netherlands";"16829289";"     500";"16900726"
"Total male and female";"2015";"The Netherlands";"16900726";"     502";"16979120"
"Total male and female";"2016";"The Netherlands";"16979120";"     504";"17081507"
"Total male and female";"2017";"The Netherlands";"17081507";"     507";"17181084"
"Total male and female";"2018";"The Netherlands";"17181084";"     510";"17282163"
"Total male and female";"2019";"The Netherlands";"17282163";"     513";"17407585"
"Total male and female";"2020";"The Netherlands";"17407585";"     517";"17475415"
"Total male and female";"2021";"The Netherlands";"17475415";"     519";"17590672"
"Total male and female";"2022";"The Netherlands";"17590672";"     523";"17811291"
"Total male and female";"2023";"The Netherlands";"17811291";"     529";"17942942"
"Total male and female";"2009";"Oost-Groningen (CR)";"  152172";"     184";"  152004"
"Total male and female";"2010";"Oost-Groningen (CR)";"  152004";"     184";"  151530"
"Total male and female";"2011";"Oost-Groningen (CR)";"  151530";"     183";"  150782"
"Total male and female";"2012";"Oost-Groningen (CR)";"  150782";"     182";"  149838"
"Total male and female";"2013";"Oost-Groningen (CR)";"  149838";"     182";"  148944"
"Total male and female";"2014";"Oost-Groningen (CR)";"  148944";"     180";"  148966"
"Total male and female";"2015";"Oost-Groningen (CR)";"  148966";"     180";"  148583"
"Total male and female";"2016";"Oost-Groningen (CR)";"  148583";"     180";"  147393"
"Total male and female";"2017";"Oost-Groningen (CR)";"  147393";"     179";"  146783"
"Total male and female";"2018";"Oost-Groningen (CR)";"  134770";"     181";"  134822"
"Total male and female";"2019";"Oost-Groningen (CR)";"  134822";"     181";"  135208"
"Total male and female";"2020";"Oost-Groningen (CR)";"  135208";"     181";"  135839"
"Total male and female";"2021";"Oost-Groningen (CR)";"  135839";"     182";"  136605"
"Total male and female";"2022";"Oost-Groningen (CR)";"  136605";"     183";"  137736"
"Total male and female";"2023";"Oost-Groningen (CR)";"  137736";"     185";"  137920"
"Total male and female";"2009";"Delfzijl en omgeving (CR)";"   49401";"     184";"   49119"
"Total male and female";"2010";"Delfzijl en omgeving (CR)";"   49119";"     183";"   49135"
"Total male and female";"2011";"Delfzijl en omgeving (CR)";"   49135";"     183";"   48724"
"Total male and female";"2012";"Delfzijl en omgeving (CR)";"   48724";"     182";"   48370"
"Total male and female";"2013";"Delfzijl en omgeving (CR)";"   48370";"     181";"   47958"
"Total male and female";"2014";"Delfzijl en omgeving (CR)";"   47958";"     179";"   47560"
"Total male and female";"2015";"Delfzijl en omgeving (CR)";"   47560";"     178";"   47111"
"Total male and female";"2016";"Delfzijl en omgeving (CR)";"   47111";"     176";"   46850"
"Total male and female";"2017";"Delfzijl en omgeving (CR)";"   46850";"     175";"   46396"
"Total male and female";"2018";"Delfzijl en omgeving (CR)";"   46396";"     173";"   46051"
"Total male and female";"2019";"Delfzijl en omgeving (CR)";"   46051";"     172";"   45857"
"Total male and female";"2020";"Delfzijl en omgeving (CR)";"   45857";"     171";"   45587"
"Total male and female";"2021";"Delfzijl en omgeving (CR)";"   45587";"     170";"   45389"
"Total male and female";"2022";"Delfzijl en omgeving (CR)";"   45389";"     169";"   45394"
"Total male and female";"2023";"Delfzijl en omgeving (CR)";"   45394";"     169";"   45106"
"Total male and female";"2009";"Overig Groningen (CR)";"  372519";"     303";"  375545"
"Total male and female";"2010";"Overig Groningen (CR)";"  375545";"     305";"  378371"
"Total male and female";"2011";"Overig Groningen (CR)";"  378371";"     307";"  381369"
"Total male and female";"2012";"Overig Groningen (CR)";"  381369";"     310";"  383497"
"Total male and female";"2013";"Overig Groningen (CR)";"  383497";"     311";"  385826"
